top - 11:54:46 up  1:09,  1 user,  load average: 1.67, 1.11, 0.92
 124166 root      20   0  719596  10608   8192 S   0.0   0.0   0:00.01 containerd-shim
 124238 root      20   0  150932  10496   9600 S   0.0   0.0   0:00.02 UserTimelineSer
 124281 root      20   0 1082028   3584   2816 S   0.0   0.0   0:00.00 docker-proxy
 124287 root      20   0 1303480   3584   2688 S   0.0   0.0   0:00.00 docker-proxy
 124321 root      20   0  719852  10100   7936 S   0.0   0.0   0:00.02 containerd-shim
 124331 root      20   0  719852  10456   8192 S   0.0   0.0   0:00.00 containerd-shim
 124379 root      20   0  719596  10472   7936 S   0.0   0.0   0:00.02 containerd-shim
 124409 root      20   0   41296   7808   6656 S   0.0   0.0   0:00.03 openresty
 124410 root      20   0   46512   7296   6784 S   0.0   0.0   0:00.02 UniqueIdService
 124411 root      20   0  155368  10624   9472 S   0.0   0.0   0:00.03 UserService
 124592 nobody    20   0   41696   3696   2176 S   0.0   0.0   0:00.00 openresty
 124593 nobody    20   0   41696   3696   2176 S   0.0   0.0   0:00.00 openresty
 124594 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124595 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124596 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124597 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124598 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124599 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124600 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124601 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124602 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124603 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124604 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124605 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124606 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124607 nobody    20   0   41696   3700   2176 S   0.0   0.0   0:00.00 openresty
 124657 prathik+  20   0    7504   3840   3456 S   0.0   0.0   0:00.01 log_script.sh
 124904 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:2-events
 125351 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/13:2-events
 125691 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u28:2
top - 11:57:50 up  1:12,  1 user,  load average: 1.18, 1.15, 0.98
Tasks: 464 total,   2 running, 462 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.6 us,  4.8 sy,  0.0 ni, 85.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  63972.4 total,    448.4 free,  60250.4 used,   3273.7 buff/cache
MiB Swap:  32000.0 total,  31495.5 free,    504.5 used.   3032.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 122995 999       20   0   57.2g  53.4g   7552 R  85.7  85.4   3:14.56 redis-server
    799 root      20   0  378908  71740  34648 S   9.5   0.1   3:07.30 esensor
 126010 prathik+  20   0   13476   4580   3940 R   9.5   0.0   0:00.06 top
    371 root      19  -1  151064  91844  90948 S   4.8   0.1   0:06.46 systemd-journal
      1 root      20   0  167408  11360   7648 S   0.0   0.0   0:10.45 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_kthread
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_rude_kthread
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_trace_kthread
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.42 ksoftirqd/0
     16 root      20   0       0      0      0 I   0.0   0.0   0:02.39 rcu_preempt
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.71 migration/0
     18 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     21 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     22 root      rt   0       0      0      0 S   0.0   0.0   0:00.75 migration/1
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.22 ksoftirqd/1
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     27 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     28 root      rt   0       0      0      0 S   0.0   0.0   0:00.61 migration/2
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.17 ksoftirqd/2
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-events_highpri
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     33 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     34 root      rt   0       0      0      0 S   0.0   0.0   0:00.54 migration/3
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.17 ksoftirqd/3
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-events_highpri
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     39 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/4
     40 root      rt   0       0      0      0 S   0.0   0.0   0:00.52 migration/4
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.16 ksoftirqd/4
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-events_highpri
     44 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     45 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/5
     46 root      rt   0       0      0      0 S   0.0   0.0   0:00.54 migration/5
     47 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftirqd/5
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-events_highpri
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     51 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/6
     52 root      rt   0       0      0      0 S   0.0   0.0   0:00.32 migration/6
     53 root      20   0       0      0      0 S   0.0   0.0   0:00.61 ksoftirqd/6
     55 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0H-events_highpri
     56 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     57 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/7
     58 root      rt   0       0      0      0 S   0.0   0.0   0:00.90 migration/7
     59 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftirqd/7
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/7:0H-events_highpri
     62 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/8
     64 root      rt   0       0      0      0 S   0.0   0.0   0:00.66 migration/8
     65 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftirqd/8
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/8:0H-events_highpri
     68 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/9
     70 root      rt   0       0      0      0 S   0.0   0.0   0:00.57 migration/9
     71 root      20   0       0      0      0 S   0.0   0.0   0:00.19 ksoftirqd/9
     73 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/9:0H-events_highpri
     74 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/10
     76 root      rt   0       0      0      0 S   0.0   0.0   0:00.53 migration/10
     77 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftirqd/10
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/10:0H-events_highpri
     80 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/11
     82 root      rt   0       0      0      0 S   0.0   0.0   0:00.52 migration/11
     83 root      20   0       0      0      0 S   0.0   0.0   0:00.16 ksoftirqd/11
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0H-events_highpri
     86 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/12
     88 root      rt   0       0      0      0 S   0.0   0.0   0:00.61 migration/12
     89 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftirqd/12
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/12:0H-events_highpri
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     93 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/13
     94 root      rt   0       0      0      0 S   0.0   0.0   0:00.36 migration/13
     95 root      20   0       0      0      0 S   0.0   0.0   0:01.47 ksoftirqd/13
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/13:0H-events_highpri
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
    101 root      20   0       0      0      0 S   0.0   0.0   0:00.18 kauditd
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
    103 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
    106 root      20   0       0      0      0 S   0.0   0.0   0:07.52 kcompactd0
    107 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    108 root      39  19       0      0      0 S   0.0   0.0   0:00.06 khugepaged
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md_bitmap
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
    118 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker/0:1H-kblockd
    121 root      20   0       0      0      0 S   0.0   0.0   0:17.76 kswapd0
    122 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthread
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    135 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/2:1H-kblockd
    136 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    149 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u29:0
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    173 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker/6:1H-kblockd
    175 root      20   0   11476   3224   2688 S   0.0   0.0   0:02.79 systemd-udevd
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker/13:1H-kblockd
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/12:1H-kblockd
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/10:1H-kblockd
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:1H-kblockd
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/4:1H-kblockd
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker/7:1H-kblockd
    196 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/1:1H-kblockd
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/11:1H-kblockd
    198 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/8:1H-kblockd
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/9:1H-kblockd
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/3:1H-kblockd
    225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 i40e
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-auth-wq
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ixgbe
    257 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    258 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    259 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    260 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
    261 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
    262 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
    263 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_3
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_3
    265 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_4
    266 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_4
    267 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_5
    268 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_5
    269 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_6
    270 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_6
    271 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_7
    272 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_7
    280 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-1-0008
    283 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush/252:0
    284 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush/252:1
    290 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-2-0008
    292 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 1-0008-con1
    293 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 2-0008-con1
    326 root      20   0       0      0      0 S   0.0   0.0   0:00.96 jbd2/dm-1-8
    327 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    406 root      20   0   29404   6912   4864 S   0.0   0.0   0:03.53 systemd-udevd
    497 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/162-mei_me
    604 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 led_workqueue
    651 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    664 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/nvme0n1p1-8
    665 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    671 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    672 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    710 systemd+  20   0   14832   5888   5760 S   0.0   0.0   0:06.69 systemd-oomd
    711 systemd+  20   0   25800   8832   8448 S   0.0   0.0   0:03.30 systemd-resolve
    715 root      16  -4   13800   1920   1920 S   0.0   0.0   0:00.72 auditd
    739 root      20   0       0      0      0 S   0.0   0.0   0:00.00 audit_prune_tree
    745 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nfit
    746 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-modeset/kthread_q
    747 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-modeset/deferred_close_kthread_q
    768 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM global queue
    769 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM deferred release queue
    770 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM Tools Event Queue
    791 root      20   0    2816   1920   1920 S   0.0   0.0   0:00.61 acpid
    793 avahi     20   0   10448   3840   3840 S   0.0   0.0   0:01.83 avahi-daemon
    794 message+  20   0   14044   7600   4352 S   0.0   0.0   0:09.75 dbus-daemon
    804 root      20   0   40808  11136  11136 S   0.0   0.0   0:00.06 networkd-dispat
    809 root      20   0  239460   8464   7228 S   0.0   0.0   0:03.88 polkitd
    812 root      20   0    5320   1536   1536 S   0.0   0.0   0:01.92 nvidia-persiste
    814 root      20   0  237492   6528   6528 S   0.0   0.0   0:00.01 power-profiles-
    815 syslog    20   0  446180   5056   4348 S   0.0   0.0   0:02.22 rsyslogd
    819 root     -51   0       0      0      0 S   0.0   0.0   0:00.44 irq/173-nvidia
    820 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia
    821 root      20   0       0      0      0 S   0.0   0.0   0:00.25 nv_queue
    827 root      20   0 2208912  16368   5376 S   0.0   0.0   0:10.04 snapd
    831 root      20   0  240476   7156   7156 S   0.0   0.0   0:00.48 accounts-daemon
    833 root      20   0    9256   3172   2916 S   0.0   0.0   0:00.00 cron
    835 root      20   0  233776   6144   6144 S   0.0   0.0   0:00.01 switcheroo-cont
    841 root      20   0   50636   7176   6656 S   0.0   0.0   0:00.74 systemd-logind
    844 root      20   0  395436  11664   9488 S   0.0   0.0   0:02.69 udisksd
    846 root      20   0   16500   4224   4096 S   0.0   0.0   0:00.00 wpa_supplicant
    855 avahi     20   0    9856   1176   1024 S   0.0   0.0   0:00.00 avahi-daemon
    903 root      20   0  317964   7888   7120 S   0.0   0.0   0:01.29 ModemManager
    906 root      20   0  140956  32968  17380 S   0.0   0.1   0:02.58 firewalld
   1003 root      20   0  880560  20776  13744 S   0.0   0.0   0:14.90 NetworkManager
   1022 root      20   0   72680  11892  11124 S   0.0   0.0   0:00.02 cupsd
   1033 root      20   0 2613412  54936  31744 S   0.0   0.1   0:08.49 containerd
   1040 root      20   0   14600   1688   1664 S   0.0   0.0   0:00.00 xrdp-sesman
   1046 root      20   0   17716   6764   6764 S   0.0   0.0   0:00.00 sshd
   1056 _chrony   20   0   21264   3716   3304 S   0.0   0.0   0:00.42 chronyd
   1060 lp        20   0   18564   6144   5760 S   0.0   0.0   0:00.00 dbus
   1061 _chrony   20   0   12960   2712   2432 S   0.0   0.0   0:00.37 chronyd
   1062 lp        20   0   18564   6224   5840 S   0.0   0.0   0:00.00 dbus
   1073 xrdp      20   0   12324   1688   1536 S   0.0   0.0   0:00.00 xrdp
   1280 root     -51   0       0      0      0 S   0.0   0.0   0:36.61 irq/174-nvidia
   1281 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia
   1282 root      20   0       0      0      0 S   0.0   0.0   0:00.31 nv_queue
   1411 root      20   0  176648  12032   9472 S   0.0   0.0   0:01.22 cups-browsed
   1417 root      20   0 6404076  75668  22844 S   0.0   0.1   0:28.93 dockerd
   1437 kernoops  20   0   13088   1796   1664 S   0.0   0.0   0:00.00 kerneloops
   1446 kernoops  20   0   13088   1696   1664 S   0.0   0.0   0:00.00 kerneloops
   1461 root      20   0 1746052  30008  14208 S   0.0   0.0   0:16.06 adclient
   1462 root      20   0   87196   2944   2816 S   0.0   0.0   0:00.09 cdcwatch
   1619 root      20   0  241100   8440   8056 S   0.0   0.0   0:00.04 gdm3
   1795 rtkit     21   1  156364   3200   3200 S   0.0   0.0   0:00.05 rtkit-daemon
   2072 root      20   0  239708   7424   7296 S   0.0   0.0   0:00.10 upowerd
   4440 root      20   0  298052  15720  14824 S   0.0   0.0   0:01.14 packagekitd
   4641 colord    20   0  245260   9372   9284 S   0.0   0.0   0:00.15 colord
   6431 root      20   0  172444  10096   8944 S   0.0   0.0   0:00.02 gdm-session-wor
   6508 prathik+  20   0   18344  10240   7552 S   0.0   0.0   0:03.25 systemd
   6515 prathik+  20   0  176208   5316   1664 S   0.0   0.0   0:00.00 (sd-pam)
   6522 prathik+   9 -11   39324   5332   5204 S   0.0   0.0   0:00.01 pipewire
   6523 prathik+  20   0   23236   5120   5120 S   0.0   0.0   0:00.05 pipewire-media-
   6524 prathik+   9 -11 1870172  21268  19348 S   0.0   0.0   0:00.25 pulseaudio
   6528 prathik+  20   0  238324   7192   6528 S   0.0   0.0   0:00.21 gnome-keyring-d
   6533 prathik+  20   0   11980   5248   4352 S   0.0   0.0   0:00.70 dbus-daemon
   6535 prathik+  20   0  238044   7552   7168 S   0.0   0.0   0:00.05 gvfsd
   6540 prathik+  20   0  380892   6016   5760 S   0.0   0.0   0:00.01 gvfsd-fuse
   6550 prathik+  39  19  643288  24572  22160 S   0.0   0.0   0:02.57 tracker-miner-f
   6555 prathik+  20   0  315816   9984   8704 S   0.0   0.0   0:06.39 gvfs-udisks2-vo
   6560 prathik+  20   0  312620   7424   7168 S   0.0   0.0   0:00.11 gvfs-afc-volume
   6565 prathik+  20   0  234044   5888   5888 S   0.0   0.0   0:00.02 gvfs-goa-volume
   6569 prathik+  20   0  575916  32128  31488 S   0.0   0.0   0:01.23 goa-daemon
   6576 prathik+  20   0  335800  14464  12928 S   0.0   0.0   0:00.08 goa-identity-se
   6578 prathik+  20   0  238032   7424   7424 S   0.0   0.0   0:00.00 gnome-keyring-d
   6588 prathik+  20   0  233984   6400   6016 S   0.0   0.0   0:00.02 gvfs-mtp-volume
   6592 prathik+  20   0  235072   6528   6272 S   0.0   0.0   0:00.03 gvfs-gphoto2-vo
   6598 prathik+  20   0  159832   5632   5632 S   0.0   0.0   0:00.01 gdm-x-session
   6600 root      20   0   24.3g  72616  58440 S   0.0   0.1   0:40.60 Xorg
   6624 prathik+  20   0  220440  13824  13824 S   0.0   0.0   0:00.04 gnome-session-b
   6706 prathik+  20   0  309620   7424   7168 S   0.0   0.0   0:00.01 at-spi-bus-laun
   6712 prathik+  20   0   10976   4736   4352 S   0.0   0.0   0:00.14 dbus-daemon
   6722 prathik+  20   0   89308   5120   5120 S   0.0   0.0   0:00.00 gnome-session-c
   6733 prathik+  20   0  445320  15984  14704 S   0.0   0.0   0:00.13 gnome-session-b
   6756 prathik+  20   0 4726060 282092 139720 S   0.0   0.4   1:28.56 gnome-shell
   6776 prathik+  20   0  583004  16896  16896 S   0.0   0.0   0:00.06 gnome-shell-cal
   6777 prathik+  20   0  233552   5632   5632 S   0.0   0.0   0:00.01 xdg-permission-
   6785 prathik+  20   0 1071860  22016  20992 S   0.0   0.0   0:00.08 evolution-sourc
   6794 prathik+  20   0  156940   5504   5248 S   0.0   0.0   0:00.02 dconf-service
   6798 prathik+  20   0  840268  24832  24064 S   0.0   0.0   0:01.20 evolution-calen
   6810 prathik+  20   0  669756  23552  22784 S   0.0   0.0   0:01.18 evolution-addre
   6820 prathik+  20   0  385992   8192   7552 S   0.0   0.0   0:01.46 gvfsd-trash
   6833 prathik+  20   0 2928688  25636  22400 S   0.0   0.0   0:00.06 gjs
   6835 prathik+  20   0  162816   8064   7424 S   0.0   0.0   0:00.48 at-spi2-registr
   6855 prathik+  20   0  476140  11868  10972 S   0.0   0.0   0:01.44 xdg-desktop-por
   6865 prathik+  20   0  460572   6784   6528 S   0.0   0.0   0:00.03 xdg-document-po
   6871 root      20   0    5156   2304   2304 S   0.0   0.0   0:00.00 fusermount3
   6876 prathik+  20   0 1332444  78324  57184 S   0.0   0.1   0:03.47 xdg-desktop-por
   6896 prathik+  20   0    2892   1664   1664 S   0.0   0.0   0:00.00 sh
   6897 prathik+  20   0  307820   6528   6272 S   0.0   0.0   0:00.01 gsd-a11y-settin
   6899 prathik+  20   0  388972   9136   7040 S   0.0   0.0   0:11.46 ibus-daemon
   6901 prathik+  20   0  534580  22352  20300 S   0.0   0.0   0:00.15 gsd-color
   6903 prathik+  20   0  372864  14208  14080 S   0.0   0.0   0:00.01 gsd-datetime
   6905 prathik+  20   0  309728   7552   7040 S   0.0   0.0   0:04.33 gsd-housekeepin
   6908 prathik+  20   0  338812  17504  17032 S   0.0   0.0   0:00.09 gsd-keyboard
   6910 prathik+  20   0  864772  23112  21420 S   0.0   0.0   0:00.13 gsd-media-keys
   6913 prathik+  20   0  451132  20780  19896 S   0.0   0.0   0:00.13 gsd-power
   6917 prathik+  20   0  249544  10320   9808 S   0.0   0.0   0:00.00 gsd-print-notif
   6919 prathik+  20   0  455256   6272   6016 S   0.0   0.0   0:00.92 gsd-rfkill
   6921 prathik+  20   0  233688   6016   5888 S   0.0   0.0   0:00.00 gsd-screensaver
   6925 prathik+  20   0  463868  11520   8960 S   0.0   0.0   0:04.81 gsd-sharing
   6928 prathik+  20   0  383432   7552   7424 S   0.0   0.0   0:00.00 gsd-smartcard
   6931 prathik+  20   0  232276   7168   6016 S   0.0   0.0   0:00.03 gsd-disk-utilit
   6932 prathik+  20   0  316740   8832   8576 S   0.0   0.0   0:00.01 gsd-sound
   6935 prathik+  20   0  339120  17480  16824 S   0.0   0.0   0:00.10 gsd-wacom
   6939 prathik+  20   0  346140  23040  22068 S   0.0   0.0   0:00.13 gsd-xsettings
   6945 prathik+  20   0  819532  58456  51148 S   0.0   0.1   0:00.26 evolution-alarm
   6980 prathik+  20   0  160892   6656   6656 S   0.0   0.0   0:00.00 ibus-memconf
   6981 prathik+  20   0  269880  21944  17828 S   0.0   0.0   0:03.14 ibus-extension-
   7015 prathik+  20   0  191520  17880  17296 S   0.0   0.0   0:00.08 ibus-x11
   7025 prathik+  20   0  234672   6912   6784 S   0.0   0.0   0:00.01 ibus-portal
   7055 prathik+  20   0  339756  13184  12672 S   0.0   0.0   0:00.01 gsd-printer
   7060 prathik+  20   0  343548  22660  21284 S   0.0   0.0   0:00.19 xdg-desktop-por
   7072 prathik+  20   0 2936880  25116  22528 S   0.0   0.0   0:00.07 gjs
   7073 prathik+  20   0  160884   7168   6784 S   0.0   0.0   0:03.46 ibus-engine-sim
   7141 prathik+  20   0 3121792  54652  44032 S   0.0   0.1   0:02.71 gjs
   7160 prathik+  20   0  160452   6272   6016 S   0.0   0.0   0:00.01 gvfsd-metadata
   7244 prathik+  20   0  903496  60344  42656 S   0.0   0.1   0:27.90 gnome-terminal-
   7266 prathik+  20   0   10084   4324   3684 S   0.0   0.0   0:00.12 bash
   7287 prathik+  20   0   10084   4096   3712 S   0.0   0.0   0:00.00 bash
   7308 prathik+  20   0   12928   5888   4096 S   0.0   0.0   2:35.79 htop
